ST04Q01,HISCED,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,ISCED 1,18.0,414.0,115.0,14.0,60.0,1868.0,16.0,45.0,85.0,67.0,48.0,652.0,9.0,451.0,5.0,3.0,59.0,1.0,31.0,10.0,20.0,7.0,77.0,200.0,5.0,,705.0,45.0,19.0,110.0,,105.0,4.0,14.0,,1.0,3.0,213.0,274.0,129.0,9.0,2487.0,9.0,43.0,19.0,4.0,,330.0,,567.0,167.0,41.0,,9.0,135.0,5.0,2.0,659.0,15.0,93.0,1067.0,393.0,778.0,150.0,14.0,60.0,532.0,411.0
Female,ISCED 2,408.0,411.0,723.0,67.0,151.0,1637.0,126.0,236.0,487.0,557.0,324.0,681.0,39.0,210.0,118.0,15.0,315.0,58.0,135.0,38.0,216.0,402.0,197.0,410.0,227.0,148.0,573.0,179.0,85.0,2687.0,54.0,324.0,25.0,59.0,46.0,13.0,25.0,236.0,913.0,305.0,39.0,4754.0,90.0,83.0,137.0,51.0,12.0,273.0,69.0,713.0,314.0,104.0,29.0,118.0,113.0,66.0,140.0,1839.0,99.0,601.0,548.0,185.0,557.0,311.0,217.0,139.0,747.0,1003.0
Female,"ISCED 3A, ISCED 4",1037.0,602.0,2182.0,413.0,1072.0,3326.0,974.0,2770.0,1210.0,738.0,687.0,806.0,251.0,571.0,1008.0,1211.0,430.0,884.0,378.0,342.0,410.0,472.0,887.0,465.0,754.0,364.0,835.0,862.0,645.0,6119.0,902.0,1025.0,341.0,815.0,840.0,14.0,733.0,598.0,391.0,1520.0,227.0,2302.0,257.0,659.0,427.0,596.0,49.0,1241.0,1013.0,524.0,763.0,1018.0,169.0,97.0,1193.0,1145.0,487.0,3051.0,421.0,559.0,963.0,1033.0,333.0,1419.0,1085.0,795.0,489.0,728.0
Female,"ISCED 3B, C",67.0,,134.0,664.0,240.0,161.0,270.0,,,95.0,431.0,,,26.0,231.0,435.0,561.0,49.0,325.0,,383.0,82.0,63.0,583.0,437.0,85.0,98.0,47.0,305.0,909.0,177.0,214.0,5.0,140.0,55.0,28.0,35.0,135.0,438.0,14.0,,346.0,727.0,,348.0,89.0,5.0,,603.0,168.0,298.0,98.0,13.0,890.0,,330.0,1003.0,243.0,148.0,1211.0,97.0,17.0,45.0,44.0,1157.0,,59.0,43.0
Female,"ISCED 5A, 6",545.0,977.0,2696.0,504.0,1645.0,2011.0,883.0,5041.0,1182.0,744.0,597.0,1124.0,431.0,833.0,607.0,819.0,755.0,907.0,2439.0,385.0,683.0,623.0,972.0,239.0,911.0,943.0,387.0,918.0,1180.0,4213.0,1291.0,1166.0,1363.0,1095.0,807.0,48.0,1009.0,794.0,292.0,420.0,487.0,4088.0,692.0,471.0,728.0,593.0,415.0,700.0,651.0,596.0,3117.0,809.0,1312.0,550.0,753.0,517.0,614.0,4624.0,1090.0,1562.0,954.0,316.0,289.0,3146.0,2145.0,1036.0,442.0,252.0
Female,ISCED 5B,131.0,470.0,943.0,647.0,870.0,312.0,255.0,2580.0,398.0,408.0,1007.0,1155.0,95.0,243.0,497.0,168.0,1492.0,468.0,943.0,149.0,559.0,377.0,357.0,139.0,132.0,138.0,128.0,465.0,402.0,969.0,512.0,707.0,1191.0,195.0,410.0,32.0,445.0,394.0,198.0,289.0,113.0,2418.0,568.0,802.0,322.0,867.0,376.0,317.0,,121.0,474.0,488.0,1071.0,668.0,520.0,144.0,398.0,1937.0,507.0,1380.0,,234.0,247.0,537.0,1343.0,356.0,445.0,
Female,None,210.0,95.0,20.0,10.0,39.0,678.0,3.0,24.0,60.0,25.0,3.0,341.0,2.0,109.0,1.0,,27.0,,50.0,6.0,20.0,30.0,4.0,51.0,2.0,,127.0,3.0,32.0,20.0,,41.0,1.0,6.0,2.0,,,77.0,65.0,60.0,5.0,984.0,,17.0,8.0,8.0,,216.0,,104.0,117.0,2.0,,,23.0,1.0,,130.0,19.0,37.0,88.0,168.0,98.0,137.0,8.0,26.0,55.0,203.0
Male,ISCED 1,25.0,314.0,109.0,11.0,47.0,1389.0,20.0,44.0,64.0,69.0,48.0,472.0,5.0,289.0,6.0,6.0,33.0,,30.0,11.0,14.0,3.0,61.0,220.0,3.0,,600.0,30.0,14.0,121.0,,82.0,,14.0,1.0,1.0,1.0,153.0,314.0,121.0,4.0,2134.0,9.0,31.0,12.0,5.0,,320.0,,532.0,128.0,35.0,,7.0,136.0,5.0,2.0,538.0,11.0,81.0,741.0,284.0,741.0,86.0,11.0,57.0,371.0,357.0
Male,ISCED 2,351.0,345.0,647.0,82.0,95.0,1289.0,128.0,160.0,408.0,579.0,281.0,554.0,18.0,164.0,110.0,26.0,255.0,36.0,97.0,43.0,126.0,438.0,177.0,429.0,149.0,97.0,518.0,137.0,41.0,2657.0,51.0,247.0,33.0,61.0,34.0,14.0,35.0,216.0,950.0,252.0,30.0,4374.0,90.0,75.0,94.0,56.0,11.0,262.0,61.0,664.0,198.0,84.0,32.0,85.0,133.0,73.0,112.0,1795.0,77.0,570.0,389.0,133.0,566.0,267.0,183.0,123.0,615.0,813.0
Male,"ISCED 3A, ISCED 4",1012.0,622.0,2452.0,464.0,1077.0,3054.0,993.0,2702.0,1139.0,659.0,740.0,764.0,230.0,489.0,1011.0,1159.0,413.0,853.0,470.0,329.0,449.0,413.0,831.0,535.0,659.0,374.0,759.0,817.0,528.0,5740.0,935.0,773.0,312.0,908.0,755.0,13.0,729.0,554.0,402.0,1221.0,223.0,2181.0,232.0,672.0,491.0,527.0,65.0,1102.0,997.0,505.0,701.0,947.0,184.0,102.0,1147.0,1254.0,611.0,3011.0,417.0,613.0,798.0,745.0,331.0,1230.0,1097.0,771.0,406.0,678.0
Male,"ISCED 3B, C",81.0,,120.0,620.0,215.0,191.0,217.0,,,80.0,348.0,,,18.0,162.0,381.0,455.0,40.0,320.0,,332.0,78.0,65.0,613.0,372.0,70.0,121.0,52.0,146.0,870.0,199.0,154.0,6.0,130.0,52.0,41.0,57.0,139.0,465.0,22.0,,345.0,550.0,,315.0,82.0,4.0,,467.0,180.0,222.0,90.0,14.0,779.0,,288.0,1105.0,218.0,143.0,1029.0,74.0,16.0,60.0,87.0,1183.0,,50.0,32.0
Male,"ISCED 5A, 6",541.0,970.0,2858.0,518.0,1734.0,2196.0,987.0,5155.0,1250.0,753.0,570.0,1307.0,488.0,848.0,685.0,806.0,898.0,877.0,2465.0,377.0,656.0,646.0,999.0,416.0,928.0,997.0,489.0,914.0,1096.0,4882.0,1542.0,1395.0,1450.0,1410.0,775.0,47.0,1046.0,874.0,283.0,458.0,443.0,4188.0,868.0,499.0,741.0,782.0,463.0,698.0,619.0,680.0,3574.0,902.0,1335.0,687.0,769.0,616.0,764.0,4685.0,1106.0,1618.0,777.0,410.0,305.0,3250.0,2224.0,1146.0,510.0,269.0
Male,ISCED 5B,171.0,358.0,830.0,608.0,863.0,293.0,259.0,2171.0,324.0,374.0,924.0,943.0,88.0,256.0,537.0,227.0,1416.0,506.0,840.0,158.0,490.0,346.0,367.0,137.0,111.0,138.0,133.0,466.0,277.0,1258.0,428.0,593.0,1068.0,131.0,449.0,34.0,409.0,438.0,193.0,306.0,112.0,2125.0,587.0,924.0,273.0,802.0,345.0,320.0,,103.0,485.0,423.0,1009.0,615.0,543.0,158.0,531.0,1969.0,429.0,1515.0,,204.0,318.0,543.0,1171.0,343.0,443.0,
Male,None,146.0,83.0,17.0,9.0,21.0,426.0,14.0,24.0,58.0,17.0,4.0,177.0,1.0,53.0,,2.0,30.0,,50.0,6.0,9.0,19.0,8.0,40.0,2.0,,119.0,2.0,21.0,39.0,,53.0,2.0,5.0,1.0,1.0,2.0,81.0,74.0,57.0,3.0,735.0,,23.0,5.0,5.0,,181.0,1.0,115.0,118.0,7.0,,1.0,37.0,4.0,,119.0,14.0,33.0,69.0,156.0,121.0,132.0,6.0,17.0,34.0,148.0
