ST04Q01,ST02Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,1,2302.0,,5220.0,,,10168.0,66.0,1239.0,86.0,1102.0,984.0,1651.0,845.0,1414.0,883.0,935.0,3471.0,2365.0,4363.0,952.0,576.0,62.0,68.0,2161.0,76.0,1739.0,1048.0,1558.0,,9645.0,2292.0,3615.0,2026.0,129.0,2091.0,,304.0,145.0,2563.0,1083.0,892.0,1818.0,2.0,536.0,2131.0,2291.0,818.0,3048.0,2379.0,1051.0,552.0,134.0,2140.0,10.0,2752.0,812.0,888.0,12638.0,2333.0,,728.0,775.0,56.0,5727.0,6096.0,2453.0,869.0,177.0
Female,10,,,,,39.0,,,,,,,,,,,,,,,,,143.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,9.0,,,,,
Female,11,,,,726.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,4845.0,,,21.0,,2.0,,11.0,
Female,12,,,,98.0,108.0,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,81.0,,,,,
Female,13,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,14,,,,,57.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,15,,,,,1098.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,16,,,,,92.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,17,,,,,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,18,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,19,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,2,40.0,25.0,383.0,31.0,,7.0,200.0,9704.0,3201.0,988.0,928.0,1949.0,,794.0,1156.0,830.0,280.0,41.0,,,38.0,227.0,2267.0,,931.0,,264.0,675.0,5.0,3160.0,10.0,,743.0,1781.0,9.0,,513.0,982.0,41.0,1204.0,,1165.0,993.0,539.0,,,38.0,70.0,7.0,1463.0,334.0,2438.0,398.0,653.0,,16.0,347.0,47.0,37.0,,2638.0,1615.0,712.0,65.0,145.0,,116.0,2282.0
Female,20,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,370.0,,,,,,,,
Female,22,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,
Female,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,,,,,
Female,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,
Female,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
Female,3,73.0,103.0,1041.0,172.0,12.0,,1466.0,,143.0,501.0,955.0,1207.0,,252.0,52.0,221.0,,3.0,7.0,,1526.0,641.0,241.0,,143.0,,872.0,18.0,48.0,1743.0,707.0,,28.0,432.0,,,,398.0,,281.0,,1067.0,1276.0,47.0,,,,,,9.0,3104.0,,24.0,542.0,,140.0,1045.0,3.0,7.0,,370.0,,593.0,,10.0,,41.0,117.0
Female,4,1.0,1.0,298.0,19.0,41.0,,846.0,,82.0,46.0,244.0,,,,115.0,477.0,26.0,,,,193.0,995.0,,,98.0,,217.0,146.0,530.0,194.0,12.0,,134.0,,85.0,,1408.0,40.0,,108.0,,270.0,102.0,558.0,,,6.0,,2.0,147.0,1315.0,,52.0,69.0,,537.0,351.0,2.0,1.0,,,,22.0,,1.0,,15.0,63.0
Female,5,,1506.0,106.0,681.0,1205.0,,,,,,,,,,267.0,11.0,,,,,42.0,239.0,,,1007.0,,459.0,148.0,321.0,501.0,,,,,3.0,,1.0,61.0,,69.0,,7193.0,,246.0,,,,,,183.0,,,,285.0,,614.0,42.0,,,,,,20.0,,45.0,,4.0,
Female,6,,164.0,,87.0,628.0,,,,,,,,,,7.0,171.0,,,,,,,,,274.0,,,,1386.0,,,,,,,,11.0,244.0,,,,489.0,,179.0,,,,,,,,,,552.0,,112.0,26.0,,,,,,117.0,,2.0,,1635.0,9.0
Female,7,,1169.0,,258.0,67.0,,,,,,,,,,,28.0,,,,,,,,,,,,,1.0,,,,,,,,46.0,557.0,,,,4725.0,,40.0,,,,,,,,,,68.0,,,,,,,,,,,,,124.0,
Female,8,,145.0,,279.0,432.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,154.0,,,,826.0,,,,,,,,,,,,128.0,,,,,,,,,564.0,,7.0,,11.0,
Female,9,,,,6.0,5.0,,,,,,,,,,,,,,,,,70.0,,,,,,,520.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,175.0,,,,,
Male,1,2065.0,,5568.0,,2.0,9023.0,118.0,1560.0,126.0,1230.0,1011.0,1680.0,852.0,1378.0,570.0,1218.0,3451.0,2338.0,4456.0,944.0,659.0,77.0,116.0,2509.0,163.0,1769.0,1176.0,1662.0,,6056.0,2345.0,3423.0,2109.0,166.0,2048.0,,480.0,214.0,2687.0,764.0,831.0,2093.0,12.0,477.0,2160.0,2393.0,858.0,2845.0,2215.0,1160.0,588.0,105.0,2132.0,16.0,2794.0,961.0,567.0,12514.0,2323.0,,727.0,862.0,64.0,5543.0,6139.0,2525.0,853.0,274.0
Male,10,,,,,74.0,,,,,,,,,,,,,,,,,201.0,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,66.0,,,,,
Male,11,,,,733.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,5006.0,,,102.0,,,,27.0,
Male,12,,,,5.0,124.0,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,97.0,,,,,
Male,13,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,
Male,14,,,,,68.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,15,,,,,953.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,16,,,,,99.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,17,,,,,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,18,,,,,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,19,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,2,62.0,23.0,531.0,42.0,,6.0,163.0,9041.0,3026.0,774.0,899.0,1633.0,,594.0,1172.0,630.0,243.0,28.0,,,67.0,323.0,1894.0,,614.0,,303.0,502.0,5.0,6292.0,57.0,,503.0,1973.0,11.0,,561.0,1019.0,44.0,1110.0,,1358.0,691.0,549.0,,2.0,27.0,72.0,4.0,1159.0,474.0,2397.0,335.0,479.0,,19.0,320.0,102.0,32.0,,1514.0,1155.0,750.0,165.0,130.0,,169.0,1787.0
Male,20,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,307.0,,,,,,,,
Male,22,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,
Male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,,,,,,,,
Male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
Male,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Male,3,200.0,74.0,867.0,287.0,18.0,,1133.0,,113.0,514.0,988.0,953.0,,170.0,17.0,120.0,,4.0,3.0,,1207.0,604.0,539.0,,114.0,,581.0,18.0,80.0,2257.0,908.0,,149.0,552.0,1.0,,,395.0,,401.0,,1263.0,1476.0,62.0,,,,,,7.0,3207.0,,65.0,951.0,,177.0,1261.0,7.0,3.0,,629.0,,457.0,,20.0,,73.0,133.0
Male,4,,2.0,285.0,17.0,41.0,,1290.0,,79.0,22.0,37.0,,,,212.0,438.0,10.0,,,,274.0,851.0,,,85.0,,94.0,199.0,390.0,320.0,20.0,,116.0,,50.0,,1196.0,72.0,,66.0,,203.0,192.0,614.0,,,14.0,,,213.0,1392.0,,85.0,253.0,,296.0,924.0,,,,,,13.0,,3.0,,39.0,92.0
Male,5,,1175.0,130.0,519.0,967.0,,,,,,,,,,527.0,5.0,,,,,31.0,233.0,,,874.0,,608.0,90.0,287.0,905.0,,,,,8.0,,1.0,116.0,,111.0,,5605.0,,309.0,,,,,,330.0,,,,96.0,,731.0,103.0,,,,,,15.0,,42.0,,17.0,
Male,6,,353.0,,62.0,812.0,,,,,,,,,,30.0,180.0,,,,,,,,,431.0,,,,1304.0,,,,,,,,34.0,210.0,,,,330.0,,217.0,,,,,,,,,,299.0,,263.0,37.0,,,,,,90.0,,6.0,,1086.0,25.0
Male,7,,880.0,,496.0,32.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,63.0,459.0,,,,4515.0,,87.0,,,,,,,,,,72.0,,,,,,,,,,,,,171.0,
Male,8,,288.0,,235.0,497.0,,,,,,,,,,,13.0,,,,,,,,,,,,,73.0,,,,,,,,,192.0,,,,886.0,,,,,,,,,,,,107.0,,,,,,,,,652.0,,11.0,,51.0,
Male,9,,,,2.0,5.0,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,104.0,,,,3.0,
