ST04Q01,IC07Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,01,,,231.0,48.0,64.0,,,,275.0,305.0,236.0,,,282.0,61.0,66.0,24.0,27.0,44.0,,,56.0,128.0,69.0,72.0,10.0,,91.0,126.0,807.0,243.0,744.0,,198.0,76.0,2.0,,,193.0,,,2353.0,,31.0,91.0,15.0,43.0,,79.0,165.0,,,140.0,128.0,132.0,92.0,48.0,306.0,32.0,89.0,,,518.0,,,,249.0,
Female,02,,,476.0,242.0,243.0,,,,251.0,315.0,244.0,,,312.0,140.0,166.0,163.0,58.0,257.0,,,155.0,175.0,103.0,126.0,62.0,,274.0,189.0,2060.0,360.0,294.0,,366.0,109.0,7.0,,,79.0,,,2400.0,,113.0,219.0,73.0,42.0,,92.0,192.0,,,109.0,177.0,195.0,114.0,180.0,594.0,139.0,487.0,,,396.0,,,,214.0,
Female,03,,,629.0,404.0,474.0,,,,255.0,342.0,328.0,,,218.0,208.0,251.0,285.0,158.0,405.0,,,246.0,215.0,162.0,207.0,136.0,,406.0,211.0,2269.0,382.0,274.0,,425.0,164.0,26.0,,,137.0,,,1977.0,,224.0,289.0,169.0,65.0,,178.0,283.0,,,169.0,209.0,268.0,160.0,298.0,1045.0,202.0,804.0,,,278.0,,,,167.0,
Female,04,,,1266.0,603.0,998.0,,,,596.0,617.0,625.0,,,461.0,557.0,544.0,708.0,398.0,1044.0,,,513.0,602.0,366.0,511.0,340.0,,720.0,448.0,4076.0,538.0,656.0,,638.0,437.0,40.0,,,346.0,,,3591.0,,483.0,445.0,443.0,133.0,,479.0,584.0,,,434.0,501.0,561.0,424.0,661.0,2684.0,498.0,1373.0,,,539.0,,,,443.0,
Female,05,,,1716.0,556.0,1202.0,,,,727.0,594.0,744.0,,,409.0,744.0,771.0,963.0,769.0,1380.0,,,556.0,719.0,581.0,682.0,543.0,,593.0,528.0,3165.0,608.0,592.0,,523.0,670.0,31.0,,,750.0,,,2923.0,,559.0,494.0,689.0,233.0,,809.0,750.0,,,728.0,668.0,733.0,675.0,762.0,3596.0,622.0,1451.0,,,372.0,,,,536.0,
Female,06,,,1348.0,270.0,591.0,,,,647.0,288.0,447.0,,,323.0,450.0,479.0,751.0,613.0,247.0,,,325.0,437.0,449.0,483.0,342.0,,286.0,324.0,1409.0,377.0,416.0,,131.0,472.0,19.0,,,602.0,,,1973.0,,314.0,305.0,511.0,167.0,,478.0,507.0,,,497.0,371.0,463.0,430.0,440.0,2141.0,430.0,737.0,,,137.0,,,,458.0,
Female,07,,,1137.0,169.0,371.0,,,,678.0,168.0,464.0,,,227.0,300.0,321.0,436.0,348.0,416.0,,,195.0,252.0,350.0,354.0,155.0,,139.0,314.0,650.0,398.0,476.0,,55.0,242.0,7.0,,,475.0,,,1534.0,,334.0,208.0,276.0,169.0,,250.0,305.0,,,493.0,241.0,372.0,275.0,255.0,1808.0,310.0,490.0,,,66.0,,,,388.0,
Female,97,,3093.0,111.0,25.0,103.0,10175.0,2578.0,10943.0,29.0,1.0,6.0,4807.0,845.0,107.0,1.0,5.0,54.0,15.0,492.0,952.0,2375.0,358.0,3.0,69.0,12.0,32.0,2860.0,5.0,520.0,35.0,27.0,3.0,2931.0,1.0,4.0,,2283.0,2581.0,6.0,2745.0,892.0,65.0,2373.0,59.0,12.0,37.0,1.0,3118.0,16.0,28.0,5305.0,2572.0,7.0,23.0,6.0,27.0,20.0,52.0,27.0,15.0,3736.0,2390.0,7.0,5792.0,6308.0,2453.0,11.0,2648.0
Female,98,,,14.0,12.0,31.0,,,,14.0,,,,,,,1.0,61.0,6.0,14.0,,,12.0,4.0,,5.0,2.0,,8.0,5.0,20.0,,14.0,,,3.0,2.0,,,1.0,,,9.0,,,12.0,19.0,,,,3.0,,,,,1.0,2.0,4.0,1.0,10.0,27.0,,,2.0,,,,7.0,
Female,99,2416.0,20.0,147.0,28.0,210.0,,,,40.0,7.0,17.0,,,121.0,19.0,76.0,332.0,17.0,71.0,,,46.0,41.0,12.0,77.0,117.0,,23.0,160.0,752.0,88.0,146.0,,5.0,11.0,4.0,,,15.0,,,728.0,,28.0,56.0,59.0,9.0,,7.0,36.0,,,37.0,50.0,21.0,32.0,31.0,463.0,108.0,106.0,,,55.0,,,,353.0,
Male,01,,,273.0,51.0,75.0,,,,220.0,303.0,167.0,,,205.0,97.0,73.0,31.0,35.0,50.0,,,44.0,106.0,84.0,75.0,19.0,,94.0,105.0,926.0,334.0,546.0,,137.0,72.0,,,,219.0,,,2216.0,,32.0,118.0,28.0,85.0,,61.0,119.0,,,181.0,129.0,145.0,103.0,87.0,414.0,34.0,110.0,,,272.0,,,,177.0,
Male,02,,,513.0,211.0,177.0,,,,264.0,217.0,148.0,,,242.0,173.0,125.0,97.0,80.0,190.0,,,103.0,162.0,97.0,123.0,44.0,,307.0,186.0,2055.0,408.0,368.0,,170.0,107.0,8.0,,,81.0,,,2330.0,,99.0,201.0,69.0,57.0,,77.0,157.0,,,164.0,177.0,104.0,130.0,200.0,779.0,75.0,397.0,,,345.0,,,,171.0,
Male,03,,,675.0,325.0,371.0,,,,271.0,280.0,220.0,,,224.0,239.0,193.0,206.0,146.0,364.0,,,169.0,190.0,153.0,171.0,91.0,,433.0,211.0,2351.0,456.0,396.0,,291.0,162.0,19.0,,,110.0,,,2204.0,,184.0,270.0,144.0,65.0,,162.0,222.0,,,188.0,240.0,218.0,186.0,316.0,1297.0,113.0,670.0,,,257.0,,,,191.0,
Male,04,,,1300.0,570.0,804.0,,,,590.0,552.0,444.0,,,376.0,494.0,439.0,499.0,372.0,868.0,,,366.0,465.0,370.0,400.0,266.0,,602.0,400.0,4057.0,678.0,550.0,,709.0,374.0,30.0,,,307.0,,,3394.0,,414.0,412.0,355.0,108.0,,364.0,421.0,,,410.0,392.0,519.0,462.0,655.0,2803.0,288.0,1340.0,,,605.0,,,,377.0,
Male,05,,,1586.0,525.0,1118.0,,,,762.0,587.0,682.0,,,384.0,654.0,667.0,746.0,679.0,1214.0,,,549.0,674.0,688.0,542.0,514.0,,520.0,444.0,2919.0,636.0,422.0,,832.0,559.0,34.0,,,664.0,,,2462.0,,631.0,427.0,608.0,206.0,,598.0,612.0,,,570.0,536.0,682.0,614.0,718.0,3308.0,447.0,1372.0,,,519.0,,,,463.0,
Male,06,,,1207.0,305.0,655.0,,,,526.0,269.0,487.0,,,224.0,429.0,472.0,743.0,530.0,257.0,,,391.0,454.0,478.0,433.0,354.0,,276.0,310.0,1380.0,284.0,244.0,,355.0,434.0,47.0,,,578.0,,,1423.0,,385.0,294.0,487.0,138.0,,457.0,575.0,,,436.0,350.0,488.0,423.0,506.0,1871.0,515.0,797.0,,,248.0,,,,340.0,
Male,07,,,1473.0,324.0,620.0,,,,596.0,323.0,759.0,,,251.0,392.0,562.0,863.0,460.0,796.0,,,401.0,407.0,479.0,440.0,320.0,,159.0,289.0,933.0,336.0,469.0,,183.0,359.0,16.0,,,731.0,,,1320.0,,417.0,305.0,533.0,222.0,,452.0,642.0,,,600.0,379.0,593.0,444.0,554.0,1533.0,657.0,748.0,,,164.0,,,,392.0,
Male,97,,2778.0,116.0,31.0,182.0,9029.0,2704.0,10601.0,40.0,2.0,3.0,4266.0,852.0,126.0,8.0,6.0,99.0,21.0,568.0,944.0,2238.0,449.0,12.0,129.0,15.0,45.0,2762.0,19.0,112.0,56.0,67.0,12.0,2877.0,2.0,12.0,,2335.0,2677.0,4.0,2452.0,831.0,63.0,2371.0,115.0,30.0,43.0,2.0,2917.0,34.0,48.0,5661.0,2502.0,13.0,25.0,12.0,43.0,58.0,57.0,42.0,29.0,2870.0,2017.0,6.0,5708.0,6351.0,2525.0,13.0,2311.0
Male,98,,,15.0,14.0,23.0,,,,19.0,,1.0,,,,1.0,2.0,61.0,2.0,35.0,,,12.0,10.0,1.0,4.0,2.0,,7.0,7.0,32.0,,124.0,,,5.0,,,,1.0,,,13.0,,,10.0,33.0,,,,7.0,,,1.0,5.0,3.0,6.0,6.0,14.0,24.0,30.0,,,1.0,,,,5.0,
Male,99,2327.0,17.0,248.0,42.0,285.0,,,,56.0,7.0,24.0,,,110.0,41.0,108.0,359.0,45.0,117.0,,,55.0,69.0,30.0,78.0,114.0,,54.0,166.0,1121.0,131.0,292.0,,12.0,34.0,1.0,,,36.0,,,828.0,,38.0,93.0,95.0,16.0,,14.0,66.0,,,54.0,83.0,30.0,36.0,112.0,547.0,163.0,157.0,,,61.0,,,,360.0,
